algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
NSGA-II,11 86 28 56,ÇİKOLATALI YULAF GEVREĞİ | ÜZÜM PEKMEZİ | HİNDİ SALAMI | PATATES SALATASI,170.0,300.0,True,176.1182,5,True,2000.0,2400.0,True,2338.5773,user1_nsgaii_diversity,20.0,9999.0,True,27.9664,6,0,306 258,ORMAN  KEBABI | KIYMALI KABAK DOLMASI,32.3,17.03,31.4,233.0,0.055917,40.0,100.0,False,101.1834,2,1500.0,2300.0,True,1567.326,1,user_gamma_3991,False,1
NSGA-II,11 86 28 56,ÇİKOLATALI YULAF GEVREĞİ | ÜZÜM PEKMEZİ | HİNDİ SALAMI | PATATES SALATASI,170.0,300.0,True,176.1182,5,True,2000.0,2400.0,True,2338.5773,user1_nsgaii_diversity,20.0,9999.0,True,27.9664,6,0,306 258,ORMAN  KEBABI | KIYMALI KABAK DOLMASI,32.3,17.03,31.4,233.0,0.055917,40.0,100.0,False,101.1834,3,1500.0,2300.0,True,1567.326,1,user_gamma_3991,False,1
NSGA-II,85 78 14 8 44 27,TAVADA YUMURTA | SOSİSLİ MİLFÖY BÖREĞİ | DİL PEYNİRİ | BROKOLİ SALATASI | LOR PEYNİRİ | HAZIR PAKETLİ TATLI-TAHİN HELVASI,170.0,300.0,True,238.5798,9,True,2000.0,2400.0,True,2017.3905,user1_nsgaii_diversity,20.0,9999.0,False,18.5015,10,0,328 346 257 114,PİRİNÇLİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI | KIYMALI ISPANAK | AYVA TATLISI,40.8,15.75,40.7,305.0,0.027883,40.0,100.0,True,65.9339,4,1500.0,2300.0,True,2153.9739,1,user_gamma_3991,False,1
NSGA-II,85 78 14 8 44 27,TAVADA YUMURTA | SOSİSLİ MİLFÖY BÖREĞİ | DİL PEYNİRİ | BROKOLİ SALATASI | LOR PEYNİRİ | HAZIR PAKETLİ TATLI-TAHİN HELVASI,170.0,300.0,True,238.5798,9,True,2000.0,2400.0,True,2017.3905,user1_nsgaii_diversity,20.0,9999.0,False,18.5015,10,0,328 346 257 114,PİRİNÇLİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI | KIYMALI ISPANAK | AYVA TATLISI,40.8,15.75,40.7,305.0,0.027883,40.0,100.0,True,65.9339,5,1500.0,2300.0,True,2153.9739,1,user_gamma_3991,False,1
NSGA-II,85 78 14 8 44 27,TAVADA YUMURTA | SOSİSLİ MİLFÖY BÖREĞİ | DİL PEYNİRİ | BROKOLİ SALATASI | LOR PEYNİRİ | HAZIR PAKETLİ TATLI-TAHİN HELVASI,170.0,300.0,True,238.5798,9,True,2000.0,2400.0,True,2017.3905,user1_nsgaii_diversity,20.0,9999.0,False,18.5015,10,0,328 346 257 114,PİRİNÇLİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI | KIYMALI ISPANAK | AYVA TATLISI,40.8,15.75,40.7,305.0,0.027883,40.0,100.0,True,65.9339,6,1500.0,2300.0,True,2153.9739,1,user_gamma_3991,False,1
NSGA-II,94 42 6 79 67,YULAF GEVREĞİ | KUŞBURNU MARMELATI | BEYAZ PEYNIR | SÜT | PORTAKAL SUYU,170.0,300.0,True,247.5332,10,True,2000.0,2400.0,True,2061.344,user1_nsgaii_diversity,20.0,9999.0,True,31.9785,12,0,264 307 396 155 280 175 190,KİRAZ | OSMANLI ÇORBASI | ZEYTİNYAĞLI BEZELYE | EKMEK LD | KÜP PATATES KIZARTMASI | ETSİZ BROKOLİ | ETSİZ PATATES OTURTMASI,41.9,20.12,57.6,318.0,0.025,40.0,100.0,True,58.508,7,1500.0,2300.0,True,1859.3,1,user_gamma_3991,False,0
NSGA-II,94 42 6 79 67,YULAF GEVREĞİ | KUŞBURNU MARMELATI | BEYAZ PEYNIR | SÜT | PORTAKAL SUYU,170.0,300.0,True,247.5332,10,True,2000.0,2400.0,True,2061.344,user1_nsgaii_diversity,20.0,9999.0,True,31.9785,12,0,264 307 396 155 280 175 190,KİRAZ | OSMANLI ÇORBASI | ZEYTİNYAĞLI BEZELYE | EKMEK LD | KÜP PATATES KIZARTMASI | ETSİZ BROKOLİ | ETSİZ PATATES OTURTMASI,41.9,20.12,57.6,318.0,0.025,40.0,100.0,True,58.508,8,1500.0,2300.0,True,1859.3,1,user_gamma_3991,False,0
NSGA-II,85 78 14 8 19 27,TAVADA YUMURTA | SOSİSLİ MİLFÖY BÖREĞİ | DİL PEYNİRİ | BROKOLİ SALATASI | ERZİNCAN ÇORBASI | HAZIR PAKETLİ TATLI-TAHİN HELVASI,170.0,300.0,True,249.9062,10,True,2000.0,2400.0,True,2140.1825,user1_nsgaii_diversity,20.0,9999.0,False,19.2185,10,0,328 346 257 114,PİRİNÇLİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI | KIYMALI ISPANAK | AYVA TATLISI,37.5,17.23,38.2,380.0,0.025055,40.0,100.0,True,70.8731,9,1500.0,2300.0,True,2271.3629,1,user_gamma_3991,False,1
NSGA-II,85 78 14 8 19 27,TAVADA YUMURTA | SOSİSLİ MİLFÖY BÖREĞİ | DİL PEYNİRİ | BROKOLİ SALATASI | ERZİNCAN ÇORBASI | HAZIR PAKETLİ TATLI-TAHİN HELVASI,170.0,300.0,True,249.9062,10,True,2000.0,2400.0,True,2140.1825,user1_nsgaii_diversity,20.0,9999.0,False,19.2185,10,0,328 346 257 114,PİRİNÇLİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI | KIYMALI ISPANAK | AYVA TATLISI,37.5,17.23,38.2,380.0,0.025055,40.0,100.0,True,70.8731,10,1500.0,2300.0,True,2271.3629,1,user_gamma_3991,False,1
NSGA-II,85 78 14 8 19 27,TAVADA YUMURTA | SOSİSLİ MİLFÖY BÖREĞİ | DİL PEYNİRİ | BROKOLİ SALATASI | ERZİNCAN ÇORBASI | HAZIR PAKETLİ TATLI-TAHİN HELVASI,170.0,300.0,True,249.9062,10,True,2000.0,2400.0,True,2140.1825,user1_nsgaii_diversity,20.0,9999.0,False,19.2185,10,0,328 346 257 114,PİRİNÇLİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI | KIYMALI ISPANAK | AYVA TATLISI,37.5,17.23,38.2,380.0,0.025055,40.0,100.0,True,70.8731,11,1500.0,2300.0,True,2271.3629,1,user_gamma_3991,False,1
